n,avgBubble,avgMerge,faster
173,0.000020312,0.000013086,Merge
174,0.000021094,0.000013281,Merge
175,0.000021484,0.000013281,Merge
176,0.000020703,0.000012891,Merge
177,0.000021484,0.000012891,Merge
178,0.000021484,0.000013281,Merge
179,0.000022266,0.000013281,Merge
180,0.000022656,0.000014062,Merge
181,0.000023047,0.000014258,Merge
182,0.000022656,0.000013672,Merge
183,0.000023438,0.000014062,Merge
184,0.000023047,0.000013867,Merge
185,0.000024219,0.000014453,Merge
186,0.000024609,0.000014453,Merge
187,0.000023828,0.000013867,Merge
188,0.000023438,0.000014062,Merge
189,0.000024609,0.000014062,Merge
190,0.000024219,0.000014453,Merge
191,0.000026172,0.000014258,Merge
192,0.000025391,0.000014453,Merge
193,0.000025391,0.000014258,Merge
194,0.000026953,0.000016211,Merge
195,0.000026563,0.000015234,Merge
196,0.000026563,0.000015430,Merge
197,0.000026953,0.000015039,Merge
198,0.000026563,0.000014648,Merge
199,0.000028125,0.000016211,Merge
200,0.000028125,0.000015039,Merge
250,0.000044271,0.000019531,Merge
300,0.000059896,0.000024089,Merge
350,0.000080729,0.000026693,Merge
400,0.000104167,0.000031901,Merge
450,0.000140625,0.000036458,Merge
500,0.000161458,0.000041667,Merge
550,0.000203125,0.000042969,Merge
600,0.000239583,0.000049479,Merge
650,0.000276042,0.000052083,Merge
700,0.000322917,0.000055990,Merge
750,0.000395833,0.000079427,Merge
800,0.000427083,0.000066406,Merge
850,0.000479167,0.000070312,Merge
900,0.000541667,0.000078125,Merge
950,0.000614583,0.000080729,Merge
1000,0.000687500,0.000085938,Merge
1050,0.000729167,0.000085938,Merge
1100,0.000750000,0.000088542,Merge
1150,0.000895833,0.000093750,Merge
1200,0.000916667,0.000104167,Merge
1250,0.001020833,0.000104167,Merge
1300,0.001062500,0.000109375,Merge
1350,0.001229167,0.000122396,Merge
1400,0.001416667,0.000125000,Merge
1450,0.001333333,0.000117187,Merge
1500,0.001458333,0.000125000,Merge
1550,0.001541667,0.000135417,Merge
1600,0.001583333,0.000138021,Merge
1650,0.001833333,0.000145833,Merge
